Item ID,Item Name,Status,Purchase Account,Sales Account,Type,Purchase Price,Usage unit,Sales Price,Tax ID,Returnable Items,Last Modified Time,Created Time
9465000000067931,DISCOUNT RECIEVED,Active,9465000000000443,9465000000000350,item,-SAR 23.40,CTN,SAR 0.00,9465000000007061,Yes,2025-06-23 16:21:51,2024-07-31 16:41:05
9465000013883799,FOOL CALIFORNIA SYRIA RECIEPI 12X400GM,Active,9465000000000443,9465000000000350,item,SAR 0.00,CTN,SAR 38.00,9465000000007061,Yes,2025-07-23 09:33:42,2025-04-23 17:30:20
9465000015503587,EGG XL,Active,9465000000000443,9465000000000350,item,SAR 0.00,CTN,SAR 155.00,9465000000007061,Yes,2025-07-05 12:59:49,2025-05-20 15:35:07
9465000000078881,SWEET SOY SAUCE (AGM) 48X135ML,Active,9465000000000443,9465000000000350,item,SAR 0.00,C48P,SAR 1.00,9465000000007061,Yes,2024-07-31 16:52:41,2024-07-31 16:42:25
9465000000071471,L.C CHICKEN SPREAD 12X470GM,Active,9465000000000443,9465000000000350,item,SAR 0.00,C12P,SAR 248.00,9465000000007061,Yes,2025-07-23 11:36:24,2024-07-31 16:41:31
9465000016069319,KIKKOMAN SOY SAUCE 24X198Gm,Active,9465000000000443,9465000000000350,item,SAR 0.00,C24P,SAR 0.00,9465000000007061,Yes,2025-06-09 13:47:19,2025-06-04 12:22:07
9465000013408775,SAMYANG BOWL BULDAK QUATTARO 16X105GM,Active,9465000000000443,9465000000000350,item,SAR 0.00,C16P,SAR 0.00,9465000000007061,Yes,2025-07-21 16:39:14,2025-04-12 13:01:46
9465000020001868,PINOY BASIL SEED STRAWBERRY 24X290ML,Active,9465000000000443,9465000000000350,item,SAR 0.00,C24P,SAR 0.00,9465000000007061,Yes,2025-07-19 10:38:48,2025-07-17 18:00:53
9465000016932490,FAVA BEANS SIMELIA 24X400GM,Active,9465000000000443,9465000000000350,item,SAR 0.00,C24P,SAR 0.00,9465000000007061,Yes,2025-06-15 16:58:04,2025-06-15 16:08:52
9465000018219579,NONGSHIM SHRIMP CRACKER(HOT) 20X75GM,Active,9465000000000443,9465000000000350,item,SAR 0.00,C20P,SAR 0.00,9465000000007061,Yes,2025-07-01 12:29:41,2025-06-28 16:14:44
9465000014417968,TROPICAL GARDEN BASIL SEED PINEAPPLE 24X290ML,Active,9465000000000443,9465000000000350,item,SAR 0.00,C24P,SAR 0.00,9465000000007061,Yes,2025-06-23 12:30:05,2025-05-07 13:47:48
